ResidentID,Age,ModeOfTransport,DailyDistance (km),CarbonEmissionFactor(kg CO?/km) ,Average Day per Month
A185,26,Car,16,0.21,28
A155,26,Car,17,0.21,26
A135,26,Car,16,0.21,30
A105,26,Car,17,0.21,27
A085,26,Car,16,0.21,27
A055,26,Car,17,0.21,20
A035,26,Car,17,0.21,27
A015,26,Car,16,0.21,23
A195,27,Car,14,0.21,28
A180,27,Car,14,0.21,20
A165,27,Car,16,0.21,29
A145,27,Car,14,0.21,21
A130,27,Car,14,0.21,25
A115,27,Car,16,0.21,22
A095,27,Car,14,0.21,20
A080,27,Car,14,0.21,24
A065,27,Car,16,0.21,29
A045,27,Car,14,0.21,30
A030,27,Car,14,0.21,22
A010,27,Car,12,0.21,24
A190,28,Car,15,0.21,28
A175,28,Car,18,0.21,27
A160,28,Car,15,0.21,22
A140,28,Car,15,0.21,28
A125,28,Car,18,0.21,25
A110,28,Car,15,0.21,29
A090,28,Car,15,0.21,24
A075,28,Car,18,0.21,30
A060,28,Car,15,0.21,22
A040,28,Car,16,0.21,23
A025,28,Car,18,0.21,28
A003,28,Bicycle,8,0,26
A200,29,Car,15,0.21,25
A183,29,Bicycle,8,0,20
A170,29,Car,15,0.21,26
A150,29,Car,15,0.21,30
A133,29,Bicycle,8,0,21
A120,29,Car,15,0.21,21
A100,29,Car,15,0.21,21
A083,29,Bicycle,8,0,22
A070,29,Car,15,0.21,25
A050,29,Car,15,0.21,28
A033,29,Bicycle,9,0,24
A020,29,Car,15,0.21,20
A006,29,Bus,10,0.05,21
A173,30,Bicycle,9,0,21
A151,30,Car,16,0.21,21
A123,30,Bicycle,9,0,25
A101,30,Car,16,0.21,29
A073,30,Bicycle,9,0,20
A051,30,Car,16,0.21,21
A023,30,Bicycle,7,0,25
A193,31,Bicycle,8,0,23
A163,31,Bicycle,7,0,27
A143,31,Bicycle,8,0,25
A113,31,Bicycle,7,0,24
A093,31,Bicycle,8,0,23
A063,31,Bicycle,7,0,30
A043,31,Bicycle,8,0,29
A013,31,Bicycle,9,0,25
A188,32,Bicycle,7,0,27
A168,32,Bicycle,8,0,21
